LABEL	state_id	item_index	lexical_identity	target_phonology	S0_freear_predicted_phonology	divergence_step	diag_prefix_correction_label	diag_prefix_correction_corrected_predicted_phonology	diag_prefix_correction_corrected_exact	diag_prefix_correction_corrected_second_divergence_step	diag_prefix_correction_corrected_terminated_by_cap
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28493	saxophone	S AE K S AH F OW N	S AE F AH N EY T	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S AE K S AH F OW N	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28494	sayers	S EY ER Z	S EY ER S	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S EY ER Z	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28495	sayyid	S AY IH D	S EH D AH M	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S AY K AA L	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28496	sba	EH S B IY EY	EH S B AH D IY	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	EH S B IY EY	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28497	scab	S K AE B	F L AE K	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K IH M B AH G	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28499	scad	S K AE D	S K AE B ER	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28500	scaffold	S K AE F AH L D	S K AE P SH AA R	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE F AH L D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28501	scaffolding	S K AE F AH L D IH NG	S K AE F AH L	6	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE F AH L D IH NG	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28502	scala	S K AA L AH	S EH L AH	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AA L IY	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28503	scalable	S K EY L AH B AH L	S K Y UW AH B AH L	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K EY L AH B AH L	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28507	scalia	S K AA L IY AH	P AH T EY T AH L	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE T AH L OW	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28508	scallion	S K AE L Y AH N	S K AE N Y AH L ER	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE L AH S	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28509	scallop	S K AE L AH P	S K IY M	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE M AH L	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28511	scalpel	S K AE L P AH L	S K AE T	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE L P AH L	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28517	scandal	S K AE N D AH L	S AE M B ER AH L	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE N D AH L	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28518	scandalize	S K AE N D AH L AY Z	S K EY JH	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE N S AY Z	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28519	scandalous	S K AE N D AH L AH S	N AE D AH K AH L	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE T AH L IH T IH K	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28521	scantily	S K AE N T AH L IY	K OW S EH T IH K	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AH T IY N	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28524	scapegoat	S K EY P G OW T	S EY L AH JH	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K EY L	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28525	scapula	S K AE P Y AH L AH	S K R AE F T	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE L Y AH L	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28527	scarborough	S K AA R B ER OW	B AA R B EY B IY	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S EH R B OW N Z	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28529	scarcity	S K EH R S IH T IY	N EH P T AA T IY AH S	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K EH R S IH T IY	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28531	scarecrow	S K AE R K R OW	JH OW K S	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE N K AA D	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28533	scarlet	S K AA R L AH T	S K AA T L AH T	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AA R L AH T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28535	scarred	S K AA R D	G R IH N D	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AA R D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28539	scathing	S K EY DH IH NG	AH S K Y UH R	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K EY L AA P S	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28540	scatology	S K AE T AO L AH JH IY	S K AO R CH UW N IY AH	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE R JH AO L IH Z AH M	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28541	scatter	S K AE T ER	S K AE T AH L Z	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE T ER AH L	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28542	scattering	S K AE T ER IH NG	S P EH SH AH N Z	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE T ER IH NG	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28543	scattershot	S K AE T ER SH AA T	S K AE T ER T AY L	5	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE T ER SH AA T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28544	scavenge	S K AE V AH N JH	S K AE V AH T	5	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE V AH N JH	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28545	scavenger	S K AE V AH N JH ER	S K AY V ER	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE T ER	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28549	schadenfreude	SH AE D IH N F R OY D	SH AE D M AA N T	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH AE D IH N F R OY D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28550	scheduler	S K EH JH UH L ER	S ER S ER	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K EH R S ER	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28551	schelling	S K EH L IH NG	S K EH L	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K EH L IH NG	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28552	schemata	S K IH M AE T AH	JH AH K AA T AH F AO	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K IH M AE T AH	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28553	schematic	S K IH M AE T IH K	K AA N T EH K S T	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AE N IY W AO R	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28554	schemer	S K IY M ER	S K IH N D ER IH S T	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K IY M ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28557	schilling	SH IH L IH NG	JH IH L IH M IH N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH EY M IY N	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28558	schindler	SH IH N D L ER	N UH N CH EH R IY	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH EH R W EY L	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28562	schlesinger	SH L EH S IH N JH ER	P EH L S T AH N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH R EH D ER	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28563	schleswig	SH L EH S W IH G	F R IY Z W UH D	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH W AO R T S M AH N	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28564	schlitz	SH L IH T S	SH W EH N IH K	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH L IH K ER	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28566	schloss	SH L AO S	SH L AE B	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH L AO S	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28568	schmidt	SH M IH T	M IH T	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH M IH T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28569	schmooze	SH M UW Z	SH M UW T	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH M UW Z	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28571	schnabel	SH N AE B AH L	G UW N Z B ER G	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH OW D IH P	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28572	schnapps	SH N AE P S	JH UW K AH	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH AE P SH AH N	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28573	schnauzer	SH N AW Z ER	N IH T ER L AH K	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH EH P B AO R N	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28574	schneider	SH N AY D ER	L AE N D ER	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH L EH N D	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28575	schnitzler	SH N IH T S L ER	N AY N AH L D	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH N UH N	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28577	schoenberg	SH OW N B ER G	SH OW N B EH L	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH OW N B ER G	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28578	scholarly	S K AA L ER L IY	L IH TH ER AH L	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S T EY T AH L	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28579	scholastic	S K AH L AE S T IH K	K AA L AH M AE T IH K	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AA L AH F AE K S	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28580	schonberg	SH AA N B ER G	HH IH S T AA R D	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH AA N R AH S	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28581	schoolbook	S K UW L B UH K	S K AA L AH G AH S IY	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW L AA F IY	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28583	schoolchild	S K UW L CH AY L D	L IY S W ER K ER	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW L CH AY L D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28586	schoolhouse	S K UW L HH AW S	HH AA T HH OW N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW L HH AW S	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28587	schooling	S K UW L IH NG	S L AE SH	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW L IH NG	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28588	schoolmaster	S K UW L M AE S T ER	M IH D M AE S T ER	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW L M EY M ER	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28589	schoolmate	S K UW L M EY T	S IH NG K IH P S T ER	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K IH T IY B AO R D	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28590	schoolroom	S K UW L R UW M	K R AE M S T OW N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW L R UW M	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28591	schoolteacher	S K UW L T IY CH ER	S K UW L T S T ER N	5	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW L T IY CH ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28592	schoolwork	S K UW L W ER K	L ER N AH S	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S L EH T ER IY	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28593	schoolyard	S K UW L Y AA R D	G R UW S F IY L D	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K UW L Y AA R D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28595	schroeder	SH R OW D ER	HH AE N T	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH W EH L	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28596	schubert	SH UW B ER T	SH UW T EY L	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH UW B ER T	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28597	schultz	SH UH L T S	SH UH T P	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH UH L T S	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28598	schulz	SH UH L T S	SH UH T P	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH UH L T S	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28599	schumacher	SH UW M AA K ER	SH UW M AH N	3	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH UW M AA K ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28602	schuyler	S K AY L ER	JH EH N T AH V AH	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S L EY G AA R D	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28603	schuylkill	S K Y UW L K IH L	L UW K R UW M	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K IY R F OW L D	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28604	schwa	SH W AA	CH AE L P S AH N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH AE P F R UW	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28605	schwartz	SH W AO R T S	R EH V AH N S IY	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH R AE Z AH L AH S T	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28606	schweitzer	SH W AY T S ER	SH EH L W EH L	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH W EH L	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28609	schwinger	SH W IH NG ER	HH EH Z AH K IH NG	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH W IH K T	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28610	schwinn	SH W IH N	SH EH V ER N	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	SH W IH R AY T	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28612	scintilla	S IH N T IH L AH	S IH N T AH L	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S IH N T IH L AH	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28613	scion	S AY AH N	S IH NG G AH L	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S AY AH N IH S	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28614	scipio	S IH P IY OW	S IH M AA R OW S	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S IH P IY AH	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28615	scissor	S IH Z ER	S IH N S ER	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S IH Z ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28616	sclerosis	S K L ER OW S AH S	L AY P S K OW L	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S ER B IH Z AH	0	1	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28617	scoff	S K AO F	F L AE P	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K W AA F	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28619	scolding	S K OW L D IH NG	S K AO R HH OW L D IH NG	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K OW L D IH NG	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28620	sconce	S K AA N S	S EH L AH N T	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AA M AH L	0	3	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28621	scone	S K OW N	K R AH N AY T	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K Y UW B ER	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28624	scopes	S K OW P S	P OW L S T ER	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K EH P ER	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28625	scorch	S K AO R CH	S K W AO T	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AO R W EY	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28626	scorcher	S K AO R CH ER	B L UW T AH P	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K EH R OW S T	0	2	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28627	scoreboard	S K AO R B AO R D	S T AO R IY D IY	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AO R B UH SH	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28628	scorecard	S K AO R K AA R D	B L AA K ER	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AO R K AA R D	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28629	scorekeeper	S K AO R K IY P ER	S K AE S T ER	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AO R N B AE K	0	4	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28631	scorer	S K AO R ER	S AH N S AO R	1	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AO R ER	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28632	scorn	S K AO R N	S K AO R P	4	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AO R N	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28633	scornful	S K AO R N F AH L	S K R EH P SH AH N	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AO R N F AH L	1	NA	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28634	scorpio	S K AO R P IY OW	S K EH R IY	2	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AO R P IY	0	6	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28635	scorpion	S K AO R P IY AH N	K AO R P IY AH N	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K AO R P IH N	0	5	0
DIAGNOSTIC_ONLY_PREFIX_CORRECTION — NOT PERFORMANCE; NOT AN INFERENCE MECHANISM	W4_REP	28636	scorpius	S K AO R P IY AH S	P EH G AH S AH S	0	DIAGNOSTIC_ONLY_PREFIX_CORRECTION	S K EH R AH S	0	2	0
