item_index	word	rank	target_phonemes	length	zipf_approx	is_word	gate	effective_ventral_weight	effective_dorsal_weight	lexical_confidence	lexical_margin	lexical_density	canonical_full_exact	canonical_full_predicted	canonical_wm_exact	canonical_wm_predicted	canonical_ltm_exact	canonical_ltm_predicted	canonical_fixed05_exact	canonical_fixed05_predicted	freear_full_exact	freear_full_predicted	freear_wm_exact	freear_wm_predicted	freear_ltm_exact	freear_ltm_predicted	freear_fixed05_exact	freear_fixed05_predicted	competence_category	competence_category_freear
249	dvd	250	D IY V IY D IY	6	0.004	1	0.5787460803985596	0.5787460803985596	0.42125391960144043	0.858814001083374	0.1645330786705017	2.0125317573547363	1	D IY V IY D IY	1	D IY V IY D IY	1	D IY V IY D IY	1	D IY V IY D IY	1	D IY V IY D IY	1	D IY V IY D IY	1	D IY V IY D IY	1	D IY V IY D IY	BOTH_CORRECT	BOTH_CORRECT
250	shipping	251	SH IH P IH NG	5	0.003984	1	0.5811904072761536	0.5811904072761536	0.41880959272384644	0.8638310432434082	0.23581963777542114	1.1244852542877197	1	SH IH P IH NG	1	SH IH P IH NG	1	SH IH P IH NG	1	SH IH P IH NG	1	SH IH P IH NG	1	SH IH P IH NG	1	SH IH P IH NG	1	SH IH P IH NG	BOTH_CORRECT	BOTH_CORRECT
251	reserved	252	R IH Z ER V D	6	0.003968	1	0.5650969743728638	0.5650969743728638	0.43490302562713623	0.8309371471405029	0.37751227617263794	0.9563292264938354	1	R IH Z ER V D	1	R IH Z ER V D	1	R IH Z ER V D	1	R IH Z ER V D	1	R IH Z ER V D	1	R IH Z ER V D	1	R IH Z ER V D	1	R IH Z ER V D	BOTH_CORRECT	BOTH_CORRECT
252	subject	253	S AH B JH EH K T	7	0.003953	1	0.5764687061309814	0.5764687061309814	0.42353129386901855	0.8541468977928162	0.22699618339538574	2.1913564205169678	1	S AH B JH EH K T	1	S AH B JH EH K T	1	S AH B JH EH K T	1	S AH B JH EH K T	1	S AH B JH EH K T	1	S AH B JH EH K T	1	S AH B JH EH K T	1	S AH B JH EH K T	BOTH_CORRECT	BOTH_CORRECT
253	between	254	B IH T W IY N	6	0.003937	1	0.5686890482902527	0.5686890482902527	0.4313109517097473	0.8382522463798523	0.3265915513038635	1.2270104885101318	1	B IH T W IY N	1	B IH T W IY N	1	B IH T W IY N	1	B IH T W IY N	1	B IH T W IY N	1	B IH T W IY N	1	B IH T W IY N	1	B IH T W IY N	BOTH_CORRECT	BOTH_CORRECT
254	forum	255	F AO R AH M	5	0.003922	1	0.5607041120529175	0.5607041120529175	0.4392958879470825	0.8220100998878479	0.19318753480911255	1.9510754346847534	1	F AO R AH M	1	F AO R AH M	1	F AO R AH M	1	F AO R AH M	1	F AO R AH M	1	F AO R AH M	1	F AO R AH M	1	F AO R AH M	BOTH_CORRECT	BOTH_CORRECT
255	family	256	F AE M AH L IY	6	0.003906	1	0.5572734475135803	0.5572734475135803	0.4427265524864197	0.8150519132614136	0.19282066822052002	1.5538840293884277	1	F AE M AH L IY	1	F AE M AH L IY	1	F AE M AH L IY	1	F AE M AH L IY	1	F AE M AH L IY	1	F AE M AH L IY	1	F AE M AH L IY	1	F AE M AH L IY	BOTH_CORRECT	BOTH_CORRECT
256	l	257	EH L	2	0.003891	1	0.49614080786705017	0.49614080786705017	0.5038591921329498	0.6922815442085266	0.06610333919525146	4.553955078125	1	EH L	1	EH L	1	EH L	1	EH L	1	EH L	1	EH L	1	EH L	1	EH L	BOTH_CORRECT	BOTH_CORRECT
257	long	258	L AO NG	3	0.003876	1	0.5455732345581055	0.5455732345581055	0.45442676544189453	0.791400134563446	0.15358376502990723	6.315151691436768	1	L AO NG	1	L AO NG	1	L AO NG	1	L AO NG	1	L AO NG	1	L AO NG	1	L AO NG	1	L AO NG	BOTH_CORRECT	BOTH_CORRECT
258	based	259	B EY S T	4	0.003861	1	0.5462082028388977	0.5462082028388977	0.4537917971611023	0.7926808595657349	0.29264408349990845	1.9444670677185059	1	B EY S T	1	B EY S T	1	B EY S T	1	B EY S T	1	B EY S T	1	B EY S T	1	B EY S T	1	B EY S T	BOTH_CORRECT	BOTH_CORRECT
259	w	260	D AH B AH L Y UW	7	0.003846	1	0.5372932553291321	0.5372932553291321	0.4627067446708679	0.7747252583503723	0.2407798171043396	1.0925086736679077	1	D AH B AH L Y UW	1	D AH B AH L Y UW	1	D AH B AH L Y UW	1	D AH B AH L Y UW	1	D AH B AH L Y UW	1	D AH B AH L Y UW	1	D AH B AH L Y UW	1	D AH B AH L Y UW	BOTH_CORRECT	BOTH_CORRECT
260	code	261	K OW D	3	0.003831	1	0.5432226657867432	0.5432226657867432	0.45677733421325684	0.7866615653038025	0.08545827865600586	2.0277650356292725	1	K OW D	1	K OW D	1	K OW D	1	K OW D	1	K OW D	1	K OW D	1	K OW D	1	K OW D	BOTH_CORRECT	BOTH_CORRECT
261	show	262	SH OW	2	0.003817	1	0.568555474281311	0.568555474281311	0.43144452571868896	0.8379799723625183	0.03689354658126831	3.0767269134521484	1	SH OW	1	SH OW	1	SH OW	1	SH OW	1	SH OW	1	SH OW	1	SH OW	1	SH OW	BOTH_CORRECT	BOTH_CORRECT
262	even	263	IY V IH N	4	0.003802	1	0.5840164422988892	0.5840164422988892	0.41598355770111084	0.8696417212486267	0.046489834785461426	23.91218376159668	1	IY V IH N	1	IY V IH N	1	IY V IH N	1	IY V IH N	1	IY V IH N	1	IY V IH N	1	IY V IH N	1	IY V IH N	BOTH_CORRECT	BOTH_CORRECT
263	black	264	B L AE K	4	0.003788	1	0.5544236898422241	0.5544236898422241	0.4455763101577759	0.809280276298523	0.16939157247543335	2.266955852508545	1	B L AE K	1	B L AE K	1	B L AE K	1	B L AE K	1	B L AE K	1	B L AE K	1	B L AE K	1	B L AE K	BOTH_CORRECT	BOTH_CORRECT
264	check	265	CH EH K	3	0.003774	1	0.549022912979126	0.549022912979126	0.450977087020874	0.7983618378639221	0.12144607305526733	2.516690731048584	1	CH EH K	1	CH EH K	1	CH EH K	1	CH EH K	1	CH EH K	1	CH EH K	1	CH EH K	1	CH EH K	BOTH_CORRECT	BOTH_CORRECT
265	special	266	S P EH SH AH L	6	0.003759	1	0.5620958805084229	0.5620958805084229	0.43790411949157715	0.824836254119873	0.29339462518692017	1.3616187572479248	1	S P EH SH AH L	1	S P EH SH AH L	1	S P EH SH AH L	1	S P EH SH AH L	1	S P EH SH AH L	1	S P EH SH AH L	1	S P EH SH AH L	1	S P EH SH AH L	BOTH_CORRECT	BOTH_CORRECT
266	prices	267	P R AY S AH Z	6	0.003745	1	0.5679193139076233	0.5679193139076233	0.4320806860923767	0.8366835117340088	0.1109311580657959	2.9242446422576904	1	P R AY S AH Z	1	P R AY S AH Z	1	P R AY S AH Z	1	P R AY S AH Z	1	P R AY S AH Z	1	P R AY S AH Z	1	P R AY S AH Z	1	P R AY S AH Z	BOTH_CORRECT	BOTH_CORRECT
267	website	268	W EH B S AY T	6	0.003731	1	0.5705564022064209	0.5705564022064209	0.4294435977935791	0.8420607447624207	0.14176034927368164	1.915665864944458	1	W EH B S AY T	1	W EH B S AY T	1	W EH B S AY T	1	W EH B S AY T	1	W EH B S AY T	1	W EH B S AY T	1	W EH B S AY T	1	W EH B S AY T	BOTH_CORRECT	BOTH_CORRECT
268	index	269	IH N D EH K S	6	0.003717	1	0.5359163284301758	0.5359163284301758	0.4640836715698242	0.7719565629959106	0.14961838722229004	2.650587797164917	1	IH N D EH K S	1	IH N D EH K S	1	IH N D EH K S	1	IH N D EH K S	1	IH N D EH K S	1	IH N D EH K S	1	IH N D EH K S	1	IH N D EH K S	BOTH_CORRECT	BOTH_CORRECT
269	being	270	B IY IH NG	4	0.003704	1	0.527340829372406	0.527340829372406	0.472659170627594	0.7547363042831421	0.04753190279006958	43.574920654296875	1	B IY IH NG	1	B IY IH NG	1	B IY IH NG	1	B IY IH NG	1	B IY IH NG	1	B IY IH NG	1	B IY IH NG	1	B IY IH NG	BOTH_CORRECT	BOTH_CORRECT
270	women	271	W IH M AH N	5	0.00369	1	0.5724858641624451	0.5724858641624451	0.42751413583755493	0.8460003137588501	0.13821899890899658	1.6856164932250977	1	W IH M AH N	1	W IH M AH N	1	W IH M AH N	1	W IH M AH N	1	W IH M AH N	1	W IH M AH N	1	W IH M AH N	1	W IH M AH N	BOTH_CORRECT	BOTH_CORRECT
271	much	272	M AH CH	3	0.003676	1	0.5758017897605896	0.5758017897605896	0.4241982102394104	0.8527812957763672	0.0918460488319397	14.697551727294922	1	M AH CH	1	M AH CH	1	M AH CH	1	M AH CH	1	M AH CH	1	M AH CH	1	M AH CH	1	M AH CH	BOTH_CORRECT	BOTH_CORRECT
272	sign	273	S AY N	3	0.003663	1	0.5652374625205994	0.5652374625205994	0.43476253747940063	0.8312230110168457	0.16148799657821655	1.7520521879196167	1	S AY N	1	S AY N	1	S AY N	1	S AY N	1	S AY N	1	S AY N	1	S AY N	1	S AY N	BOTH_CORRECT	BOTH_CORRECT
273	file	274	F AY L	3	0.00365	1	0.5566235780715942	0.5566235780715942	0.44337642192840576	0.8137350678443909	0.09288561344146729	1.96432363986969	1	F AY L	1	F AY L	1	F AY L	1	F AY L	1	F AY L	1	F AY L	1	F AY L	1	F AY L	BOTH_CORRECT	BOTH_CORRECT
274	link	275	L IH NG K	4	0.003636	1	0.5733609199523926	0.5733609199523926	0.4266390800476074	0.8477885127067566	0.08209878206253052	2.5603652000427246	1	L IH NG K	1	L IH NG K	1	L IH NG K	1	L IH NG K	1	L IH NG K	1	L IH NG K	1	L IH NG K	1	L IH NG K	BOTH_CORRECT	BOTH_CORRECT
275	open	276	OW P AH N	4	0.003623	1	0.5426281094551086	0.5426281094551086	0.45737189054489136	0.7854636907577515	0.1748231053352356	2.145102024078369	1	OW P AH N	1	OW P AH N	1	OW P AH N	1	OW P AH N	1	OW P AH N	1	OW P AH N	1	OW P AH N	1	OW P AH N	BOTH_CORRECT	BOTH_CORRECT
276	today	277	T AH D EY	4	0.00361	1	0.5604246854782104	0.5604246854782104	0.43957531452178955	0.8214429020881653	0.1766037940979004	2.9764456748962402	1	T AH D EY	1	T AH D EY	1	T AH D EY	1	T AH D EY	1	T AH D EY	1	T AH D EY	1	T AH D EY	1	T AH D EY	BOTH_CORRECT	BOTH_CORRECT
277	technology	278	T EH K N AA L AH JH IY	9	0.003597	1	0.5832605957984924	0.5832605957984924	0.41673940420150757	0.8680864572525024	0.20930063724517822	1.4857122898101807	1	T EH K N AA L AH JH IY	1	T EH K N AA L AH JH IY	1	T EH K N AA L AH JH IY	1	T EH K N AA L AH JH IY	1	T EH K N AA L AH JH IY	1	T EH K N AA L AH JH IY	1	T EH K N AA L AH JH IY	1	T EH K N AA L AH JH IY	BOTH_CORRECT	BOTH_CORRECT
278	south	279	S AW TH	3	0.003584	1	0.5568061470985413	0.5568061470985413	0.44319385290145874	0.8141050338745117	0.10955262184143066	2.4336609840393066	1	S AW TH	1	S AW TH	1	S AW TH	1	S AW TH	1	S AW TH	1	S AW TH	1	S AW TH	1	S AW TH	BOTH_CORRECT	BOTH_CORRECT
279	case	280	K EY S	3	0.003571	1	0.5521268844604492	0.5521268844604492	0.4478731155395508	0.8046339154243469	0.19322562217712402	2.578019618988037	1	K EY S	1	K EY S	1	K EY S	1	K EY S	1	K EY S	1	K EY S	1	K EY S	1	K EY S	BOTH_CORRECT	BOTH_CORRECT
280	project	281	P R AA JH EH K T	7	0.003559	1	0.5746951699256897	0.5746951699256897	0.4253048300743103	0.8505167365074158	0.07294774055480957	1.794167399406433	1	P R AA JH EH K T	1	P R AA JH EH K T	1	P R AA JH EH K T	1	P R AA JH EH K T	1	P R AA JH EH K T	1	P R AA JH EH K T	1	P R AA JH EH K T	1	P R AA JH EH K T	BOTH_CORRECT	BOTH_CORRECT
281	same	282	S EY M	3	0.003546	1	0.5756385326385498	0.5756385326385498	0.4243614673614502	0.8524472117424011	0.12125229835510254	14.899537086486816	1	S EY M	1	S EY M	1	S EY M	1	S EY M	1	S EY M	1	S EY M	1	S EY M	1	S EY M	BOTH_CORRECT	BOTH_CORRECT
282	pages	283	P EY JH AH Z	5	0.003534	1	0.5600789189338684	0.5600789189338684	0.4399210810661316	0.8207412362098694	0.1388905644416809	1.960971713066101	1	P EY JH AH Z	1	P EY JH AH Z	1	P EY JH AH Z	1	P EY JH AH Z	1	P EY JH AH Z	1	P EY JH AH Z	1	P EY JH AH Z	1	P EY JH AH Z	BOTH_CORRECT	BOTH_CORRECT
283	uk	284	Y UW K EY	4	0.003521	1	0.5598452687263489	0.5598452687263489	0.4401547312736511	0.8202670812606812	0.28169912099838257	1.142256736755371	1	Y UW K EY	1	Y UW K EY	1	Y UW K EY	1	Y UW K EY	1	Y UW K EY	1	Y UW K EY	1	Y UW K EY	1	Y UW K EY	BOTH_CORRECT	BOTH_CORRECT
284	version	285	V ER ZH AH N	5	0.003509	1	0.5893920063972473	0.5893920063972473	0.4106079936027527	0.8807263374328613	0.06440424919128418	1.701882243156433	1	V ER ZH AH N	1	V ER ZH AH N	1	V ER ZH AH N	1	V ER ZH AH N	1	V ER ZH AH N	1	V ER ZH AH N	1	V ER ZH AH N	1	V ER ZH AH N	BOTH_CORRECT	BOTH_CORRECT
285	section	286	S EH K SH AH N	6	0.003497	1	0.56407231092453	0.56407231092453	0.43592768907546997	0.8288530707359314	0.12023824453353882	1.4266071319580078	1	S EH K SH AH N	1	S EH K SH AH N	1	S EH K SH AH N	1	S EH K SH AH N	1	S EH K SH AH N	1	S EH K SH AH N	1	S EH K SH AH N	1	S EH K SH AH N	BOTH_CORRECT	BOTH_CORRECT
286	own	287	OW N	2	0.003484	1	0.5172001719474792	0.5172001719474792	0.48279982805252075	0.7344138622283936	0.08769702911376953	45.71992111206055	1	OW N	1	OW N	1	OW N	1	OW N	1	OW N	1	OW N	1	OW N	1	OW N	BOTH_CORRECT	BOTH_CORRECT
287	found	288	F AW N D	4	0.003472	1	0.5677993297576904	0.5677993297576904	0.43220067024230957	0.8364390134811401	0.24627667665481567	2.6345930099487305	1	F AW N D	1	F AW N D	1	F AW N D	1	F AW N D	1	F AW N D	1	F AW N D	1	F AW N D	1	F AW N D	BOTH_CORRECT	BOTH_CORRECT
288	sports	289	S P AO R T S	6	0.00346	1	0.5751517415046692	0.5751517415046692	0.4248482584953308	0.8514509201049805	0.1440301537513733	1.412079095840454	1	S P AO R T S	1	S P AO R T S	1	S P AO R T S	1	S P AO R T S	1	S P AO R T S	1	S P AO R T S	1	S P AO R T S	1	S P AO R T S	BOTH_CORRECT	BOTH_CORRECT
289	house	290	HH AW S	3	0.003448	1	0.5649732947349548	0.5649732947349548	0.43502670526504517	0.8306854367256165	0.2524396777153015	1.436861276626587	1	HH AW S	1	HH AW S	1	HH AW S	1	HH AW S	1	HH AW S	1	HH AW S	1	HH AW S	1	HH AW S	BOTH_CORRECT	BOTH_CORRECT
290	related	291	R IH L EY T IH D	7	0.003436	1	0.5630983114242554	0.5630983114242554	0.43690168857574463	0.8268729448318481	0.07607465982437134	2.4365363121032715	1	R IH L EY T IH D	1	R IH L EY T IH D	1	R IH L EY T IH D	1	R IH L EY T IH D	1	R IH L EY T IH D	1	R IH L EY T IH D	1	R IH L EY T IH D	1	R IH L EY T IH D	BOTH_CORRECT	BOTH_CORRECT
291	security	292	S IH K Y UH R AH T IY	9	0.003425	1	0.5689232349395752	0.5689232349395752	0.4310767650604248	0.8387296795845032	0.3184574842453003	1.3870021104812622	1	S IH K Y UH R AH T IY	1	S IH K Y UH R AH T IY	1	S IH K Y UH R AH T IY	1	S IH K Y UH R AH T IY	1	S IH K Y UH R AH T IY	1	S IH K Y UH R AH T IY	1	S IH K Y UH R AH T IY	1	S IH K Y UH R AH T IY	BOTH_CORRECT	BOTH_CORRECT
292	both	293	B OW TH	3	0.003413	1	0.5618540644645691	0.5618540644645691	0.4381459355354309	0.824345052242279	0.12415403127670288	14.647994995117188	1	B OW TH	1	B OW TH	1	B OW TH	1	B OW TH	1	B OW TH	1	B OW TH	1	B OW TH	1	B OW TH	BOTH_CORRECT	BOTH_CORRECT
293	g	294	JH IY	2	0.003401	1	0.5359242558479309	0.5359242558479309	0.4640757441520691	0.7719725370407104	0.13109064102172852	2.641380786895752	1	JH IY	1	JH IY	1	JH IY	1	JH IY	1	JH IY	1	JH IY	1	JH IY	1	JH IY	BOTH_CORRECT	BOTH_CORRECT
294	county	295	K AW N T IY	5	0.00339	1	0.5629733204841614	0.5629733204841614	0.4370266795158386	0.8266190886497498	0.09669333696365356	1.6353648900985718	1	K AW N T IY	1	K AW N T IY	1	K AW N T IY	1	K AW N T IY	1	K AW N T IY	1	K AW N T IY	1	K AW N T IY	1	K AW N T IY	BOTH_CORRECT	BOTH_CORRECT
295	american	296	AH M EH R AH K AH N	8	0.003378	1	0.5690708160400391	0.5690708160400391	0.43092918395996094	0.8390305638313293	0.1934053897857666	1.3881843090057373	1	AH M EH R AH K AH N	1	AH M EH R AH K AH N	1	AH M EH R AH K AH N	1	AH M EH R AH K AH N	1	AH M EH R AH K AH N	1	AH M EH R AH K AH N	1	AH M EH R AH K AH N	1	AH M EH R AH K AH N	BOTH_CORRECT	BOTH_CORRECT
296	photo	297	F OW T OW	4	0.003367	1	0.5689283013343811	0.5689283013343811	0.4310716986656189	0.8387400507926941	0.10503703355789185	2.3770127296447754	1	F OW T OW	1	F OW T OW	1	F OW T OW	1	F OW T OW	1	F OW T OW	1	F OW T OW	1	F OW T OW	1	F OW T OW	BOTH_CORRECT	BOTH_CORRECT
297	game	298	G EY M	3	0.003356	1	0.5792826414108276	0.5792826414108276	0.42071735858917236	0.8599146008491516	0.09435498714447021	2.160250663757324	1	G EY M	1	G EY M	1	G EY M	1	G EY M	1	G EY M	1	G EY M	1	G EY M	1	G EY M	BOTH_CORRECT	BOTH_CORRECT
298	members	299	M EH M B ER Z	6	0.003344	1	0.586668848991394	0.586668848991394	0.41333115100860596	0.8751057982444763	0.16389739513397217	1.4796717166900635	1	M EH M B ER Z	1	M EH M B ER Z	1	M EH M B ER Z	1	M EH M B ER Z	1	M EH M B ER Z	1	M EH M B ER Z	1	M EH M B ER Z	1	M EH M B ER Z	BOTH_CORRECT	BOTH_CORRECT
299	power	300	P AW ER	3	0.003333	1	0.5515873432159424	0.5515873432159424	0.4484126567840576	0.8035430908203125	0.2566676139831543	1.7091445922851562	1	P AW ER	1	P AW ER	1	P AW ER	1	P AW ER	1	P AW ER	1	P AW ER	1	P AW ER	1	P AW ER	BOTH_CORRECT	BOTH_CORRECT
300	while	301	W AY L	3	0.003322	1	0.5432407855987549	0.5432407855987549	0.4567592144012451	0.7866981029510498	0.09663534164428711	17.753673553466797	1	W AY L	1	W AY L	1	W AY L	1	W AY L	1	W AY L	1	W AY L	1	W AY L	1	W AY L	BOTH_CORRECT	BOTH_CORRECT
301	care	302	K EH R	3	0.003311	1	0.5596950650215149	0.5596950650215149	0.4403049349784851	0.8199622631072998	0.17349845170974731	2.7228827476501465	1	K EH R	1	K EH R	1	K EH R	1	K EH R	1	K EH R	1	K EH R	1	K EH R	1	K EH R	BOTH_CORRECT	BOTH_CORRECT
302	network	303	N EH T W ER K	6	0.0033	1	0.5860916376113892	0.5860916376113892	0.41390836238861084	0.8739157319068909	0.05560845136642456	2.109947681427002	1	N EH T W ER K	1	N EH T W ER K	1	N EH T W ER K	1	N EH T W ER K	1	N EH T W ER K	1	N EH T W ER K	1	N EH T W ER K	1	N EH T W ER K	BOTH_CORRECT	BOTH_CORRECT
303	down	304	D AW N	3	0.003289	1	0.5434383153915405	0.5434383153915405	0.4565616846084595	0.7870961427688599	0.12471061944961548	7.974159240722656	1	D AW N	1	D AW N	1	D AW N	1	D AW N	1	D AW N	1	D AW N	1	D AW N	1	D AW N	BOTH_CORRECT	BOTH_CORRECT
304	computer	305	K AH M P Y UW T ER	8	0.003279	1	0.5925984382629395	0.5925984382629395	0.40740156173706055	0.8873589038848877	0.0804755687713623	2.1165192127227783	1	K AH M P Y UW T ER	1	K AH M P Y UW T ER	1	K AH M P Y UW T ER	1	K AH M P Y UW T ER	1	K AH M P Y UW T ER	1	K AH M P Y UW T ER	1	K AH M P Y UW T ER	1	K AH M P Y UW T ER	BOTH_CORRECT	BOTH_CORRECT
305	systems	306	S IH S T AH M Z	7	0.003268	1	0.5870417356491089	0.5870417356491089	0.4129582643508911	0.8758746981620789	0.11549949645996094	1.6365966796875	1	S IH S T AH M Z	1	S IH S T AH M Z	1	S IH S T AH M Z	1	S IH S T AH M Z	1	S IH S T AH M Z	1	S IH S T AH M Z	1	S IH S T AH M Z	1	S IH S T AH M Z	BOTH_CORRECT	BOTH_CORRECT
306	three	307	TH R IY	3	0.003257	1	0.5688461661338806	0.5688461661338806	0.4311538338661194	0.8385724425315857	0.006141781806945801	9.955581665039062	1	TH R IY	1	TH R IY	1	TH R IY	1	TH R IY	1	TH R IY	1	TH R IY	1	TH R IY	1	TH R IY	BOTH_CORRECT	BOTH_CORRECT
307	total	308	T OW T AH L	5	0.003247	1	0.5560495853424072	0.5560495853424072	0.4439504146575928	0.8125723004341125	0.2405955195426941	1.7808935642242432	1	T OW T AH L	1	T OW T AH L	1	T OW T AH L	1	T OW T AH L	1	T OW T AH L	1	T OW T AH L	1	T OW T AH L	1	T OW T AH L	BOTH_CORRECT	BOTH_CORRECT
308	place	309	P L EY S	4	0.003236	1	0.5713414549827576	0.5713414549827576	0.42865854501724243	0.8436630964279175	0.26050353050231934	2.4633548259735107	1	P L EY S	1	P L EY S	1	P L EY S	1	P L EY S	1	P L EY S	1	P L EY S	1	P L EY S	1	P L EY S	BOTH_CORRECT	BOTH_CORRECT
309	end	310	EH N D	3	0.003226	1	0.5506046414375305	0.5506046414375305	0.4493953585624695	0.8015570044517517	0.08879238367080688	9.776910781860352	1	EH N D	1	EH N D	1	EH N D	1	EH N D	1	EH N D	1	EH N D	1	EH N D	1	EH N D	BOTH_CORRECT	BOTH_CORRECT
310	following	311	F AA L OW IH NG	6	0.003215	1	0.5718096494674683	0.5718096494674683	0.42819035053253174	0.8446191549301147	0.13788527250289917	2.8476648330688477	1	F AA L OW IH NG	1	F AA L OW IH NG	1	F AA L OW IH NG	1	F AA L OW IH NG	1	F AA L OW IH NG	1	F AA L OW IH NG	1	F AA L OW IH NG	1	F AA L OW IH NG	BOTH_CORRECT	BOTH_CORRECT
311	download	312	D AW N L OW D	6	0.003205	1	0.5865091681480408	0.5865091681480408	0.41349083185195923	0.8747764229774475	0.14680558443069458	2.0408477783203125	1	D AW N L OW D	1	D AW N L OW D	1	D AW N L OW D	1	D AW N L OW D	1	D AW N L OW D	1	D AW N L OW D	1	D AW N L OW D	1	D AW N L OW D	BOTH_CORRECT	BOTH_CORRECT
312	h	313	EY CH	2	0.003195	1	0.5618042349815369	0.5618042349815369	0.43819576501846313	0.8242438435554504	0.23170679807662964	1.2037675380706787	1	EY CH	1	EY CH	1	EY CH	1	EY CH	1	EY CH	1	EY CH	1	EY CH	1	EY CH	BOTH_CORRECT	BOTH_CORRECT
313	him	314	HH IH M	3	0.003185	1	0.5605875253677368	0.5605875253677368	0.4394124746322632	0.8217734098434448	0.1688748598098755	7.495114326477051	1	HH IH M	1	HH IH M	1	HH IH M	1	HH IH M	1	HH IH M	1	HH IH M	1	HH IH M	1	HH IH M	BOTH_CORRECT	BOTH_CORRECT
314	without	315	W IH TH AW T	5	0.003175	1	0.5767859220504761	0.5767859220504761	0.4232140779495239	0.8547964096069336	0.17366164922714233	5.17586612701416	1	W IH TH AW T	1	W IH TH AW T	1	W IH TH AW T	1	W IH TH AW T	1	W IH TH AW T	1	W IH TH AW T	1	W IH TH AW T	1	W IH TH AW T	BOTH_CORRECT	BOTH_CORRECT
315	per	316	P ER	2	0.003165	1	0.5232651829719543	0.5232651829719543	0.47673481702804565	0.7465640306472778	0.16766023635864258	3.314016103744507	1	P ER	1	P ER	1	P ER	1	P ER	1	P ER	1	P ER	1	P ER	1	P ER	BOTH_CORRECT	BOTH_CORRECT
316	access	317	AE K S EH S	5	0.003155	1	0.554229199886322	0.554229199886322	0.445770800113678	0.8088866472244263	0.22838592529296875	2.6570563316345215	1	AE K S EH S	1	AE K S EH S	1	AE K S EH S	1	AE K S EH S	1	AE K S EH S	1	AE K S EH S	1	AE K S EH S	1	AE K S EH S	BOTH_CORRECT	BOTH_CORRECT
317	think	318	TH IH NG K	4	0.003145	1	0.5977684259414673	0.5977684259414673	0.4022315740585327	0.8980876803398132	0.034942805767059326	20.19918441772461	1	TH IH NG K	1	TH IH NG K	1	TH IH NG K	1	TH IH NG K	1	TH IH NG K	1	TH IH NG K	1	TH IH NG K	1	TH IH NG K	BOTH_CORRECT	BOTH_CORRECT
318	north	319	N AO R TH	4	0.003135	1	0.5555016994476318	0.5555016994476318	0.44449830055236816	0.8114627003669739	0.11253565549850464	3.17643141746521	1	N AO R TH	1	N AO R TH	1	N AO R TH	1	N AO R TH	1	N AO R TH	1	N AO R TH	1	N AO R TH	1	N AO R TH	BOTH_CORRECT	BOTH_CORRECT
319	resources	320	R IY S AO R S IH Z	8	0.003125	1	0.5776506662368774	0.5776506662368774	0.42234933376312256	0.8565682172775269	0.13114356994628906	1.4394044876098633	1	R IY S AO R S IH Z	1	R IY S AO R S IH Z	1	R IY S AO R S IH Z	1	R IY S AO R S IH Z	1	R IY S AO R S IH Z	1	R IY S AO R S IH Z	1	R IY S AO R S IH Z	1	R IY S AO R S IH Z	BOTH_CORRECT	BOTH_CORRECT
320	current	321	K ER AH N T	5	0.003115	1	0.5663168430328369	0.5663168430328369	0.4336831569671631	0.8334197998046875	0.3014160990715027	1.7731999158859253	1	K ER AH N T	1	K ER AH N T	1	K ER AH N T	1	K ER AH N T	1	K ER AH N T	1	K ER AH N T	1	K ER AH N T	1	K ER AH N T	BOTH_CORRECT	BOTH_CORRECT
321	posts	322	P OW S T S	5	0.003106	1	0.5526233911514282	0.5526233911514282	0.4473766088485718	0.8056380152702332	0.2821899652481079	1.0553065538406372	1	P OW S T S	1	P OW S T S	1	P OW S T S	1	P OW S T S	1	P OW S T S	1	P OW S T S	1	P OW S T S	1	P OW S T S	BOTH_CORRECT	BOTH_CORRECT
322	big	323	B IH G	3	0.003096	1	0.5579766631126404	0.5579766631126404	0.4420233368873596	0.8164771795272827	0.2189697027206421	3.677673816680908	1	B IH G	1	B IH G	1	B IH G	1	B IH G	1	B IH G	1	B IH G	1	B IH G	1	B IH G	BOTH_CORRECT	BOTH_CORRECT
323	media	324	M IY D IY AH	5	0.003086	1	0.5397437810897827	0.5397437810897827	0.4602562189102173	0.7796555757522583	0.16961997747421265	2.448178768157959	1	M IY D IY AH	1	M IY D IY AH	1	M IY D IY AH	1	M IY D IY AH	1	M IY D IY AH	1	M IY D IY AH	1	M IY D IY AH	1	M IY D IY AH	BOTH_CORRECT	BOTH_CORRECT
324	law	325	L AO	2	0.003077	1	0.5219706296920776	0.5219706296920776	0.47802937030792236	0.7439695596694946	0.053196489810943604	9.129109382629395	1	L AO	1	L AO	1	L AO	1	L AO	1	L AO	1	L AO	1	L AO	1	L AO	BOTH_CORRECT	BOTH_CORRECT
325	control	326	K AH N T R OW L	7	0.003067	1	0.5805268287658691	0.5805268287658691	0.41947317123413086	0.8624681830406189	0.1037704348564148	1.9669013023376465	1	K AH N T R OW L	1	K AH N T R OW L	1	K AH N T R OW L	1	K AH N T R OW L	1	K AH N T R OW L	1	K AH N T R OW L	1	K AH N T R OW L	1	K AH N T R OW L	BOTH_CORRECT	BOTH_CORRECT
